RANK,PLAYER,AGE,TEAM,POSITION,STATS
"#229

2",Moses Moody,21.4,GSW,"SG,SF","68 GP 0.458 FG% 0.733 FT% 1.0 3PM 6.0 PTS 2.1 REB 0.8 AST 0.3 STL 0.2 BLK 0.5 TO

Moody is a great 3&D prospect, but might be one of those better-in-real-life-than-fantasy type players. He should crack the rotation this season with Golden State a little short on bench rotation players."
"#237

2",Jaylin Williams,21.3,OKL,"PF,C",70 GP 0.437 FG% 0.696 FT% 1.0 3PM 6.0 PTS 5.0 REB 1.6 AST 0.6 STL 0.3 BLK 0.8 TO
"#238

2",Johnny Davis,21.7,WAS,"SG,SF","63 GP 0.412 FG% 0.618 FT% 1.0 3PM 8.2 PTS 3.0 REB 1.3 AST 0.5 STL 0.4 BLK 0.8 TO

Washington seems to have a type. First Avdija, then Kispert, and now Davis. With all 3 guys playing similar positions, it's hard to see room for one of them to break out."
#244,Jake LaRavia,22,MEM,"SF,PF","68 GP 0.424 FG% 0.784 FT% 1.0 3PM 4.6 PTS 2.6 REB 0.9 AST 0.5 STL 0.2 BLK 0.7 TO

While he's not the most athletic guy out there (yes, he's white) he makes up for it with his positioning, passing, and shooting ability."
#247,Jordan Walsh,19.6,BOS,SF,60 GP 0.429 FG% 0.726 FT% 0.6 3PM 6.3 PTS 1.9 REB 1.3 AST 0.5 STL 0.1 BLK 1.2 TO
#248,Emoni Bates,19.7,CLE,SF,22 GP 0.400 FG% 0.762 FT% 0.9 3PM 5.0 PTS 2.0 REB 0.4 AST 0.2 STL 0.2 BLK 0.4 TO
#249,Josh Minott,20.9,MIN,"SF,PF",22 GP 0.480 FG% 0.800 FT% 0.2 3PM 4.8 PTS 2.7 REB 0.5 AST 0.4 STL 0.6 BLK 0.3 TO
#255,Nick Smith Jr.,19.5,CHA,"PG,SG",52 GP 0.417 FG% 0.702 FT% 0.5 3PM 3.8 PTS 0.8 REB 1.0 AST 0.2 STL 0.1 BLK 0.4 TO
#256,James Nnaji,19.2,DET,C,GP  FG%  FT%  3PM  PTS  REB  AST  STL  BLK  TO
#264,Tristan Vukcevic,20.6,WAS,C,GP  FG%  FT%  3PM  PTS  REB  AST  STL  BLK  TO
#270,Jabari Walker,21.2,POR,"SF,PF",68 GP 0.448 FG% 0.750 FT% 0.3 3PM 4.2 PTS 2.4 REB 0.6 AST 0.2 STL 0.2 BLK 0.5 TO
#276,Colby Jones,21.4,SAC,SG,GP  FG%  FT%  3PM  PTS  REB  AST  STL  BLK  TO
#278,G. G. Jackson,18.8,MEM,,GP  FG%  FT%  3PM  PTS  REB  AST  STL  BLK  TO
#280,Sidy Cissoko,19.6,SAS,"SG,SF",GP  FG%  FT%  3PM  PTS  REB  AST  STL  BLK  TO
#282,Julian Strawther,21.5,DEN,SF,38 GP 0.430 FG% 0.782 FT% 0.8 3PM 4.6 PTS 1.7 REB 0.4 AST 0.2 STL 0.1 BLK 0.3 TO
#283,Dalen Terry,21.3,CHI,"SG,SF",48 GP 0.445 FG% 0.663 FT% 0.4 3PM 4.2 PTS 1.8 REB 1.1 AST 0.6 STL 0.3 BLK 0.4 TO
#286,Jaden Springer,21.1,PHI,"PG,SG","58 GP 0.500 FG% 0.752 FT% 0.3 3PM 5.8 PTS 2.1 REB 1.1 AST 0.9 STL 0.7 BLK 0.5 TO

Springer could be anything. When he's switched on he can put up nice numbers, it's just a matter of consistency and finding a role off the 76ers bench during his rookie season."
#287,Brandon Boston Jr,21.9,LAC,"SG,SF",GP  FG%  FT%  3PM  PTS  REB  AST  STL  BLK  TO
#289,Peyton Watson,21.1,DEN,"SG,SF",69 GP 0.492 FG% 0.576 FT% 0.5 3PM 6.5 PTS 3.2 REB 0.9 AST 0.2 STL 0.9 BLK 0.7 TO
#290,Rayan Rupert,19.4,POR,SG,30 GP 0.410 FG% 0.765 FT% 0.3 3PM 3.5 PTS 1.1 REB 1.1 AST 0.3 STL 0.2 BLK 0.6 TO
#299,Ibou Badji,21,POR,C,50 GP 0.352 FG% 0.622 FT% 0.0 3PM 2.9 PTS 2.7 REB 0.9 AST 0.3 STL 0.5 BLK 0.7 TO
#305,Day'Ron Sharpe,22,BRO,C,"50 GP 0.558 FG% 0.619 FT% 0.1 3PM 5.2 PTS 4.4 REB 0.7 AST 0.3 STL 0.6 BLK 0.9 TO

Has a limited offensive game, but he's a great rebounder. Brooklyn tends to play small at the C spot, so I'm not sure how much playing time he gets."
#315,TyTy Washington Jr.,21.9,OKL,PG,"GP  FG%  FT%  3PM  PTS  REB  AST  STL  BLK  TO

Houston is light on PGs (sorry, I don't count KPJ as a real PG) so there's an opportunity for TyTy to get minutes in the first half of the season."
#319,Patrick Baldwin Jr.,20.9,WAS,"SF,PF",40 GP 0.395 FG% 0.652 FT% 1.2 3PM 4.6 PTS 1.5 REB 0.4 AST 0.2 STL 0.2 BLK 0.4 TO
#322,Andre Jackson Jr.,21.9,MIL,SG,58 GP 0.442 FG% 0.729 FT% 0.2 3PM 2.3 PTS 0.7 REB 0.7 AST 0.2 STL 0.1 BLK 0.3 TO
#325,Caleb Houstan,20.8,ORL,"SG,SF",40 GP 0.362 FG% 0.826 FT% 0.6 3PM 2.5 PTS 1.3 REB 0.4 AST 0.2 STL 0.1 BLK 0.2 TO
#336,Ryan Rollins,21.3,GSW,PG,GP  FG%  FT%  3PM  PTS  REB  AST  STL  BLK  TO
#350,Kenneth Lofton Jr.,21.2,MEM,"PF,C",44 GP 0.527 FG% 0.592 FT% 0.5 3PM 9.7 PTS 4.1 REB 1.6 AST 0.4 STL 0.2 BLK 1.0 TO
#351,JD Davison,21.1,BOS,"PG,SG",23 GP 0.420 FG% 0.500 FT% 0.3 3PM 2.5 PTS 1.2 REB 1.4 AST 0.3 STL 0.3 BLK 0.5 TO
"#368

1",Joshua Primo,20.8,SAS,"SG,SF","GP  FG%  FT%  3PM  PTS  REB  AST  STL  BLK  TO

Has the tools to be a quality role player even at his age and should have an expanded role heading into next season."
"#377

1",Josh Christopher,21.9,HOU,SG,"GP  FG%  FT%  3PM  PTS  REB  AST  STL  BLK  TO

He's another guy who can score, but does it inefficiently. He does have good defensive instincts, and he's on a Rockets team who will no doubt give him a good stretch of games at some point of the season."
"#378

1",Blake Wesley,20.6,SAS,"PG,SG",10 GP 0.322 FG% 0.589 FT% 0.3 3PM 2.3 PTS 1.0 REB 1.3 AST 0.3 STL 0.1 BLK 0.8 TO
"#397

1",Dominick Barlow,20.4,SAS,SF,60 GP 0.535 FG% 0.726 FT% 0.1 3PM 5.6 PTS 4.1 REB 1.2 AST 0.5 STL 0.9 BLK 0.8 TO
"#410

1",Keon Johnson,21.6,PHX,"PG,SG","44 GP 0.362 FG% 0.739 FT% 0.6 3PM 4.3 PTS 1.2 REB 1.3 AST 0.4 STL 0.2 BLK 0.8 TO

Great athlete who I'm keeping an eye on to see what his role is like in Portland next season."
"#423

1",Bryce McGowens,21,CHA,"SG,SF",64 GP 0.397 FG% 0.750 FT% 0.6 3PM 5.4 PTS 2.0 REB 1.2 AST 0.3 STL 0.1 BLK 0.9 TO
"#442

1",JT Thor,21.2,CHA,PF,"GP  FG%  FT%  3PM  PTS  REB  AST  STL  BLK  TO

Very raw, but he's worth taking a swing on if you can afford to stash somebody for a few seasons."
"#443

1",Isaiah Todd,22,WAS,"PF,C","GP  FG%  FT%  3PM  PTS  REB  AST  STL  BLK  TO

Lots of upside here as a big man who can shoot, but needs to work things out on the defensive end."
"#470

1",Jared Butler,21.2,UTA,SG,"GP  FG%  FT%  3PM  PTS  REB  AST  STL  BLK  TO

Needs to improve his playmaking and finishing at the rim, but looks like he'll make for a quality backup PG."
